Pressure (mbar),Distance (cm),Load(kg)
100.0,5.0,9.44614339109752
200.0,5.25,8.129459734964321
300.0,14.0,9.344206591913014
400.0,14.75,8.333333333333332
500.0,25.333333333333332,9.208290859667008
600.0,26.0,8.715596330275229
700.0,39.0,9.072375127421
800.0,39.0,9.174311926605505
900.0,53.666666666666664,9.44614339109752
1000.0,54.0,9.607543323139653
1100.0,70.0,9.81991165477404
1200.0,71.0,9.887869520897043
1300.0,89.66666666666667,9.683995922528032
1400.0,88.0,9.83690112130479
1500.0,106.66666666666667,9.853890587835542
1600.0,103.75,9.989806320081549
1700.0,123.33333333333333,10.057764186204553
1800.0,119.25,9.964322120285422
1900.0,138.66666666666666,9.887869520897043
2000.0,131.5,10.066258919469929
2100.0,150.66666666666666,10.057764186204553
2200.0,143.25,9.964322120285424
2300.0,162.0,10.19367991845056
2400.0,153.25,9.91335372069317
2500.0,172.33333333333334,9.989806320081549
2600.0,162.75,9.836901121304791
2700.0,181.33333333333334,9.955827387020046
2800.0,169.75,9.964322120285422
2900.0,189.0,10.057764186204553
3000.0,176.5,10.0407747196738
3100.0,195.33333333333334,10.193679918450558
3200.0,182.75,10.19367991845056
3300.0,201.0,10.363574583758068
3400.0,188.0,10.295616717635065
3500.0,207.0,10.261637784573564
3600.0,193.0,10.219164118246685
3700.0,211.66666666666666,10.431532449881074
3800.0,197.75,10.244648318042811
3900.0,216.33333333333334,10.39755351681957
4000.0,202.25,10.244648318042811
4100.0,220.66666666666666,10.295616717635065
4200.0,205.75,10.168195718654433
4300.0,224.0,10.329595650696566
4400.0,209.25,10.295616717635065
4500.0,227.0,10.39755351681957
4600.0,212.25,10.423037716615697
4700.0,230.0,10.431532449881074
4800.0,214.5,10.677879714576964
4900.0,232.66666666666666,10.805300713557594
5000.0,216.0,11.213047910295616
5100.0,234.0,11.281005776418619
5200.0,217.5,11.952089704383281
5300.0,234.66666666666666,11.85864763846415
5400.0,217.75,12.818552497451579
5500.0,235.66666666666666,12.844036697247704
5600.0,218.0,13.506625891946992
5700.0,235.66666666666666,13.999320421338771
5800.0,217.75,14.398572884811417
5900.0,235.66666666666666,14.40706761807679
6000.0,217.0,14.44954128440367
